pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","114","999",39,39,1.00000000e+02,9439,9.90100021e+01,9022,9.55800018e+01,417,4.42000008e+00,90,9.39999998e-01,4,3.99999991e-02,12666,9533,7.52600021e+01,,0,,7.52600021e+01,"9997",327,3.61999989e+00
"02","115","999",117,115,9.82900009e+01,26794,9.80100021e+01,25085,9.36200027e+01,1709,6.38000011e+00,320,1.16999996e+00,223,8.19999993e-01,38249,27337,7.14700012e+01,,0,,7.21699982e+01,"9997",594,2.36999989e+00
"02","116","999",6,5,8.33300018e+01,1203,9.81200027e+01,1088,9.04400024e+01,115,9.56000042e+00,20,1.63000000e+00,3,2.39999995e-01,1860,1226,6.59100037e+01,,0,,8.11900024e+01,"9997",17,1.55999994e+00
"02","117","999",157,155,9.87300034e+01,36571,9.88099976e+01,32999,9.02300034e+01,3572,9.77000046e+00,406,1.10000002e+00,34,9.00000036e-02,51146,37011,7.23600006e+01,,0,,7.31500015e+01,"9997",902,2.73000002e+00
"02","118","999",797,761,9.54800034e+01,205483,9.86699982e+01,199406,9.70400009e+01,6077,2.96000004e+00,1966,9.39999998e-01,813,3.89999986e-01,278136,208262,7.48799973e+01,,0,,7.83899994e+01,"9997",8599,4.30999994e+00
"02","119","999",192,189,9.84400024e+01,44675,9.88399963e+01,42022,9.40599976e+01,2653,5.94000006e+00,482,1.07000005e+00,42,9.00000036e-02,66121,45199,6.83600006e+01,,0,,6.94599991e+01,"9997",1593,3.78999996e+00
"02","120","999",22,22,1.00000000e+02,5427,9.95800018e+01,5121,9.43600006e+01,306,5.63999987e+00,22,4.00000006e-01,1,1.99999996e-02,7525,5450,7.24300003e+01,,0,,7.24300003e+01,"9997",93,1.82000005e+00
"02","121","999",94,89,9.46800003e+01,22136,9.89899979e+01,20588,9.30100021e+01,1548,6.98999977e+00,185,8.29999983e-01,41,1.80000007e-01,30660,22362,7.29400024e+01,,0,,7.54899979e+01,"9997",641,3.10999990e+00
"02","122","999",664,648,9.75899963e+01,171637,9.89199982e+01,167782,9.77500000e+01,3855,2.25000000e+00,1478,8.50000024e-01,404,2.30000004e-01,230840,173519,7.51699982e+01,,0,,7.70400009e+01,"9997",8136,4.84999990e+00
"02","123","999",79,77,9.74700012e+01,17821,9.88799973e+01,16901,9.48399963e+01,920,5.15999985e+00,181,1.00000000e+00,20,1.09999999e-01,27512,18022,6.55100021e+01,,0,,6.72200012e+01,"9997",445,2.63000011e+00
"02","124","999",69,68,9.85500031e+01,16758,9.84300003e+01,13770,8.21699982e+01,2988,1.78299999e+01,258,1.51999998e+00,9,5.00000007e-02,23131,17025,7.35999985e+01,,0,,7.47300034e+01,"9997",663,4.80999994e+00
"02","125","999",273,266,9.74400024e+01,70687,9.89300003e+01,67224,9.50999985e+01,3463,4.90000010e+00,499,6.99999988e-01,267,3.70000005e-01,93559,71453,7.63700027e+01,,0,,7.84300003e+01,"9997",3037,4.51999998e+00
"02","126","999",20,19,9.50000000e+01,4613,9.90999985e+01,4176,9.05299988e+01,437,9.47000027e+00,38,8.19999993e-01,4,9.00000036e-02,6549,4655,7.10800018e+01,,0,,7.50899963e+01,"9997",102,2.44000006e+00
"02","127","999",24,24,1.00000000e+02,6344,9.93300018e+01,6150,9.69400024e+01,194,3.05999994e+00,41,6.39999986e-01,2,2.99999993e-02,7927,6387,8.05699997e+01,,0,,8.05699997e+01,"9997",179,2.91000009e+00
"02","128","999",174,165,9.48300018e+01,44701,9.91399994e+01,40709,9.10699997e+01,3992,8.93000031e+00,361,8.00000012e-01,27,5.99999987e-02,60520,45089,7.45000000e+01,,0,,7.85899963e+01,"9997",2160,5.30999994e+00
"02","129","999",603,566,9.38600006e+01,148436,9.81500015e+01,139470,9.39599991e+01,8966,6.03999996e+00,1112,7.40000010e-01,1681,1.11000001e+00,210779,151229,7.17500000e+01,,0,,7.64499969e+01,"9997",6199,4.44000006e+00
"02","130","999",739,671,9.08000031e+01,183189,9.90699997e+01,174009,9.49899979e+01,9180,5.01000023e+00,1020,5.50000012e-01,705,3.79999995e-01,257743,184914,7.17399979e+01,,0,,7.90599976e+01,"9997",7059,4.05999994e+00
"02","131","999",28,28,1.00000000e+02,6972,9.90500031e+01,6652,9.54100037e+01,320,4.59000015e+00,58,8.19999993e-01,9,1.29999995e-01,9302,7039,7.56699982e+01,,0,,7.56699982e+01,"9997",245,3.68000007e+00
"02","132","999",352,325,9.23300018e+01,87337,9.85800018e+01,82216,9.41399994e+01,5121,5.86000013e+00,905,1.01999998e+00,352,4.00000006e-01,122822,88594,7.21299973e+01,,0,,7.80500031e+01,"9997",3725,4.53000021e+00
"02","133","999",402,393,9.77600021e+01,107341,9.91399994e+01,103717,9.66200027e+01,3624,3.38000011e+00,604,5.60000002e-01,324,3.00000012e-01,140066,108269,7.73000031e+01,,0,,7.90800018e+01,"9997",4512,4.34999990e+00
"02","134","999",419,400,9.54700012e+01,108691,9.86500015e+01,104485,9.61299973e+01,4206,3.86999989e+00,1111,1.00999999e+00,375,3.40000004e-01,146331,110177,7.52900009e+01,,0,,7.88799973e+01,"9997",4295,4.11000013e+00
"02","135","999",14,14,1.00000000e+02,3777,9.95000000e+01,3377,8.94100037e+01,400,1.05900002e+01,18,4.69999999e-01,1,2.99999993e-02,4753,3796,7.98700027e+01,,0,,7.98700027e+01,"9997",75,2.22000003e+00
"02","991","999",12296,11764,9.56699982e+01,3129779,9.86600037e+01,2991718,9.55899963e+01,138061,4.40999985e+00,26268,8.29999983e-01,16124,5.09999990e-01,4280184,3172171,7.41100006e+01,,0,,7.74700012e+01,"9997",122754,4.09999990e+00
"02","992","999",1770,1706,9.63799973e+01,437360,9.89499969e+01,407045,9.30699997e+01,30315,6.92999983e+00,3857,8.70000005e-01,804,1.80000007e-01,596447,442021,7.41100006e+01,,0,,7.68399963e+01,"9997",16997,4.17999983e+00
"02","993","999",12287,11624,9.45999985e+01,3114310,9.88000031e+01,2969369,9.53499985e+01,144941,4.65000010e+00,23483,7.40000010e-01,14324,4.49999988e-01,4271491,3152117,7.37900009e+01,,0,,7.79800034e+01,"9997",129106,4.34999990e+00
"02","994","999",1556,1539,9.89100037e+01,378012,9.85800018e+01,355725,9.40999985e+01,22287,5.90000010e+00,3394,8.89999986e-01,2058,5.40000021e-01,510081,383464,7.51800003e+01,,0,,7.59700012e+01,"9997",10917,3.06999993e+00
"02","995","999",3458,3333,9.63899994e+01,804333,9.85599976e+01,755937,9.39800034e+01,48396,6.01999998e+00,9823,1.20000005e+00,1909,2.30000004e-01,1178502,816065,6.92500000e+01,,0,,7.17900009e+01,"9997",33052,4.36999989e+00
"02","996","999",1853,1819,9.81699982e+01,446565,9.85400009e+01,410412,9.19000015e+01,36153,8.10000038e+00,5461,1.21000004e+00,1143,2.50000000e-01,617942,453169,7.33399963e+01,,0,,7.47600021e+01,"9997",15515,3.77999997e+00
"02","997","999",813,793,9.75400009e+01,192795,9.81900024e+01,180362,9.35500031e+01,12433,6.44999981e+00,2409,1.23000002e+00,1152,5.89999974e-01,266354,196356,7.37200012e+01,,0,,7.51999969e+01,"9997",6472,3.58999991e+00
