vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","007","999","0813",8,1022,5.79999983e-01,0
"02","007","999","0814",9,791,4.49999988e-01,0
"02","009","999","0008",7,101,4.79999989e-01,0
"02","009","999","0298",12,30,1.40000001e-01,0
"02","009","999","0301",11,34,1.59999996e-01,0
"02","009","999","0503",5,718,3.42000008e+00,0
"02","009","999","0511",3,3523,1.67700005e+01,0
"02","009","999","0518",1,7171,3.41399994e+01,0
"02","009","999","0546",4,1188,5.65999985e+00,0
"02","009","999","0567",8,76,3.60000014e-01,0
"02","009","999","0574",2,5668,2.69799995e+01,0
"02","009","999","0810",9,53,2.50000000e-01,0
"02","009","999","0813",6,304,1.45000005e+00,0
"02","009","999","0814",10,35,1.70000002e-01,0
"02","010","999","0008",7,70,3.60000014e-01,0
"02","010","999","0298",11,29,1.50000006e-01,0
"02","010","999","0301",10,43,2.19999999e-01,0
"02","010","999","0503",6,159,8.29999983e-01,0
"02","010","999","0511",3,2419,1.25500002e+01,0
"02","010","999","0518",1,7920,4.10999985e+01,0
"02","010","999","0546",4,1522,7.90000010e+00,0
"02","010","999","0567",8,60,3.10000002e-01,0
"02","010","999","0574",2,4525,2.34799995e+01,0
"02","010","999","0810",9,51,2.59999990e-01,0
"02","010","999","0813",5,1270,6.59000015e+00,0
"02","010","999","0814",12,23,1.19999997e-01,0
"02","011","999","0008",13,228,1.19999997e-01,0
"02","011","999","0268",14,8,0.00000000e+00,0
"02","011","999","0298",12,298,1.59999996e-01,0
"02","011","999","0301",9,557,3.10000002e-01,0
"02","011","999","0503",5,7300,4.00000000e+00,0
"02","011","999","0511",3,26972,1.47799997e+01,0
"02","011","999","0518",2,47621,2.61000004e+01,0
"02","011","999","0527",11,406,2.19999999e-01,0
"02","011","999","0546",4,7667,4.19999981e+00,0
"02","011","999","0567",6,1839,1.00999999e+00,0
"02","011","999","0574",1,74824,4.10099983e+01,0
"02","011","999","0810",10,438,2.39999995e-01,0
"02","011","999","0813",7,1131,6.20000005e-01,0
"02","011","999","0814",8,948,5.19999981e-01,0
"02","012","999","0008",8,335,5.79999983e-01,0
"02","012","999","0268",14,4,9.99999978e-03,0
"02","012","999","0298",13,140,2.39999995e-01,0
"02","012","999","0301",10,226,3.89999986e-01,0
"02","012","999","0503",5,2592,4.46000004e+00,0
"02","012","999","0511",3,8897,1.53000002e+01,0
"02","012","999","0518",2,18055,3.10400009e+01,0
"02","012","999","0527",11,219,3.79999995e-01,0
"02","012","999","0546",4,4134,7.11000013e+00,0
"02","012","999","0567",6,876,1.50999999e+00,0
"02","012","999","0574",1,18270,3.14099998e+01,0
"02","012","999","0810",12,172,3.00000012e-01,0
"02","012","999","0813",7,592,1.01999998e+00,0
"02","012","999","0814",9,265,4.60000008e-01,0
"02","015","999","0008",13,2,9.99999978e-03,0
"02","015","999","0268",14,0,0.00000000e+00,0
"02","015","999","0298",9,43,2.50000000e-01,0
"02","015","999","0301",8,63,3.60000014e-01,0
"02","015","999","0503",5,381,2.17000008e+00,0
"02","015","999","0511",3,2001,1.13999996e+01,0
